tempo,ABS,fuel_mix,front_brake_bias %,pit_limiter_status,fuel_in_tank,fuel_capacity,fuel_remaining_laps,max_rpm,idle_rpm,max_gears,drs_allowed,drs_activation_distance,actual_compound_tyre,visual_compound_tyre,tyre_age_laps,fia_flags,engine_power_ice,engine_power_mguk,ers_store_energy,ers_battery %,ers_deploy_mode,ers_harvested_thislap_MGUK,ers_harvested_MGUK %,ers_harvested_thislap_MGUH,ers_harvested_MGUH %,ers_deployed_thislap,ers_deployed %,network_paused
74.834,1,1,58,0,29.799999237060547,110.0,2.637531280517578,13099,4000,9,0,0,18,17,0,0,447923.15625,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
74.911,1,1,58,0,29.799999237060547,110.0,2.637531280517578,13099,4000,9,0,0,18,17,0,3,481137.65625,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
74.936,1,1,58,0,29.799999237060547,110.0,2.637531280517578,13099,4000,9,0,0,18,17,0,3,492486.625,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
74.988,1,1,58,0,29.799999237060547,110.0,2.637531280517578,13099,4000,9,0,0,18,17,0,3,501296.8125,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
75.041,1,1,58,0,29.799999237060547,110.0,2.637531280517578,13099,4000,9,0,0,18,17,0,3,508775.90625,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
75.094,1,1,58,0,29.799999237060547,110.0,2.637531280517578,13099,4000,9,0,0,18,17,0,3,516002.375,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
75.147,1,1,58,0,29.799999237060547,110.0,2.637531280517578,13099,4000,9,0,0,18,17,0,3,522781.59375,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
75.199,1,1,58,0,29.799999237060547,110.0,2.637531280517578,13099,4000,9,0,0,18,17,0,3,527805.625,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
75.251,1,1,58,0,29.799999237060547,110.0,2.6375370025634766,13099,4000,9,0,0,18,17,0,3,498085.53125,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
75.303,1,1,58,0,29.799999237060547,110.0,2.6375465393066406,13099,4000,9,0,0,18,17,0,3,446343.9375,0.0,4000000.0,100.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
